MonthNumber,Alkoholunfälle,Verkehrsunfälle,Fluchtunfälle
1,78.0,3448.0,835.0
2,53.0,3181.0,890.0
3,73.0,3783.0,974.0
4,78.0,3317.0,834.0
5,96.0,4123.0,1086.0
6,57.0,3329.0,842.0
7,99.0,4282.0,1102.0
8,77.0,3387.0,881.0
9,84.0,3807.0,978.0
10,83.0,4117.0,1078.0
11,71.0,3931.0,1017.0
12,85.0,3789.0,950.0
13,66.0,3348.0,871.0
14,49.0,3148.0,820.0
15,63.0,3970.0,962.0
16,68.0,3565.0,897.0
17,85.0,4128.0,1081.0
18,68.0,3715.0,905.0
19,71.0,4288.0,1047.0
20,60.0,3351.0,814.0
21,107.0,3939.0,953.0
22,77.0,4250.0,1104.0
23,68.0,4022.0,1001.0
24,66.0,3989.0,941.0
25,44.0,3063.0,852.0
26,49.0,2892.0,817.0
27,61.0,3380.0,897.0
28,65.0,3142.0,784.0
29,58.0,3731.0,857.0
30,74.0,3586.0,987.0
31,84.0,3960.0,1026.0
32,71.0,3007.0,785.0
33,107.0,3436.0,1039.0
34,83.0,3859.0,1019.0
35,44.0,3529.0,882.0
36,63.0,3023.0,706.0
37,55.0,3073.0,747.0
38,44.0,2968.0,572.0
39,53.0,3060.0,854.0
40,50.0,3106.0,844.0
41,65.0,3255.0,763.0
42,82.0,3139.0,855.0
43,76.0,3321.0,562.0
44,66.0,2837.0,698.0
45,63.0,3393.0,945.0
46,74.0,3631.0,960.0
47,44.0,3325.0,953.0
48,58.0,3527.0,858.0
49,42.0,2969.0,828.0
50,48.0,2728.0,723.0
51,44.0,3271.0,817.0
52,37.0,3183.0,875.0
53,55.0,3378.0,867.0
54,58.0,3229.0,859.0
55,67.0,3760.0,970.0
56,58.0,2926.0,784.0
57,79.0,3663.0,957.0
58,68.0,3716.0,1022.0
59,51.0,3449.0,903.0
60,52.0,3792.0,942.0
61,48.0,2788.0,749.0
62,40.0,3461.0,961.0
63,40.0,3560.0,1115.0
64,40.0,3320.0,937.0
65,48.0,3321.0,902.0
66,57.0,3499.0,901.0
67,63.0,3631.0,951.0
68,48.0,2965.0,811.0
69,76.0,3921.0,1086.0
70,57.0,3503.0,962.0
71,42.0,3205.0,845.0
72,41.0,3549.0,817.0
73,44.0,2893.0,708.0
74,50.0,2901.0,698.0
75,40.0,4165.0,1138.0
76,40.0,2874.0,750.0
77,53.0,3032.0,476.0
78,51.0,2853.0,565.0
79,64.0,3611.0,845.0
80,48.0,2993.0,774.0
81,64.0,3233.0,718.0
82,45.0,3286.0,599.0
83,48.0,3073.0,494.0
84,52.0,3419.0,864.0
85,36.0,2735.0,699.0
86,32.0,2643.0,612.0
87,38.0,2836.0,411.0
88,49.0,3292.0,821.0
89,63.0,3529.0,858.0
90,51.0,3225.0,804.0
91,65.0,3622.0,935.0
92,44.0,2943.0,759.0
93,54.0,3414.0,797.0
94,55.0,3695.0,873.0
95,36.0,3444.0,868.0
96,37.0,3184.0,690.0
97,32.0,2945.0,727.0
98,30.0,3171.0,793.0
99,30.0,2910.0,763.0
100,25.0,3339.0,837.0
101,57.0,3428.0,871.0
102,56.0,3374.0,859.0
103,52.0,3500.0,832.0
104,44.0,2870.0,760.0
105,49.0,3271.0,747.0
106,45.0,3683.0,874.0
107,27.0,2983.0,625.0
108,35.0,2888.0,657.0
109,23.0,2482.0,512.0
110,32.0,3480.0,802.0
111,14.0,2744.0,607.0
112,45.0,2953.0,776.0
113,57.0,3240.0,768.0
114,31.0,2876.0,678.0
115,44.0,3622.0,991.0
116,35.0,2749.0,752.0
117,49.0,3252.0,846.0
118,35.0,3567.0,953.0
119,31.0,3294.0,835.0
120,34.0,3202.0,747.0
121,19.0,2346.0,613.0
122,23.0,2539.0,683.0
123,31.0,3309.0,829.0
124,33.0,3202.0,938.0
125,34.0,2974.0,743.0
126,39.0,3193.0,814.0
127,48.0,3712.0,932.0
128,40.0,2843.0,794.0
129,54.0,3524.0,955.0
130,27.0,3500.0,910.0
131,28.0,3329.0,827.0
132,26.0,3413.0,861.0
133,25.0,2775.0,726.0
134,25.0,2903.0,760.0
135,22.0,3523.0,883.0
136,43.0,3529.0,835.0
137,43.0,4143.0,1034.0
138,27.0,3212.0,783.0
139,39.0,4074.0,951.0
140,34.0,3322.0,790.0
141,36.0,3730.0,906.0
142,26.0,3830.0,916.0
143,40.0,3567.0,842.0
144,37.0,3506.0,832.0
145,21.0,3176.0,713.0
146,18.0,3102.0,714.0
147,21.0,3739.0,946.0
148,34.0,3667.0,919.0
149,54.0,4114.0,1035.0
150,43.0,4018.0,1041.0
151,56.0,4281.0,1045.0
152,55.0,3452.0,887.0
153,49.0,3962.0,921.0
154,32.0,4146.0,1090.0
155,30.0,3839.0,984.0
156,27.0,3395.0,810.0
157,17.0,3316.0,796.0
158,15.0,3467.0,773.0
159,21.0,3712.0,906.0
160,28.0,4008.0,1038.0
161,33.0,3703.0,848.0
162,37.0,4284.0,1055.0
163,42.0,4641.0,1138.0
164,39.0,3387.0,791.0
165,47.0,4130.0,1000.0
166,31.0,4533.0,1074.0
167,35.0,4043.0,939.0
168,32.0,3764.0,828.0
169,21.0,3410.0,778.0
170,17.0,3315.0,742.0
171,37.0,4027.0,993.0
172,35.0,3840.0,946.0
173,28.0,4346.0,925.0
174,31.0,3833.0,880.0
175,35.0,4443.0,1029.0
176,32.0,3379.0,802.0
177,43.0,4137.0,936.0
178,36.0,4251.0,1042.0
179,42.0,3904.0,943.0
180,25.0,3919.0,830.0
181,22.0,3326.0,781.0
182,23.0,3090.0,713.0
183,23.0,3888.0,908.0
184,29.0,4022.0,966.0
185,50.0,3915.0,940.0
186,39.0,3898.0,952.0
187,49.0,4729.0,1176.0
188,49.0,3431.0,864.0
189,45.0,4015.0,1007.0
190,25.0,4467.0,1110.0
191,30.0,3992.0,991.0
192,27.0,3862.0,950.0
193,21.0,3297.0,777.0
194,10.0,3383.0,775.0
195,20.0,3653.0,898.0
196,27.0,4209.0,998.0
197,25.0,3833.0,850.0
198,30.0,4260.0,1018.0
199,35.0,4478.0,1095.0
200,34.0,3400.0,958.0
201,29.0,4289.0,958.0
202,30.0,4297.0,1022.0
203,20.0,3998.0,960.0
204,20.0,3700.0,870.0
205,19.0,3320.0,690.0
206,22.0,3223.0,846.0
207,36.0,4106.0,1060.0
208,26.0,3533.0,895.0
209,29.0,4314.0,1070.0
210,41.0,3818.0,948.0
211,52.0,4355.0,1064.0
212,30.0,3267.0,831.0
213,47.0,4017.0,1009.0
214,32.0,4198.0,1052.0
215,33.0,3809.0,925.0
216,42.0,3494.0,873.0
217,22.0,3328.0,860.0
218,24.0,3109.0,774.0
219,32.0,3796.0,954.0
220,25.0,4016.0,1010.0
221,34.0,3953.0,994.0
222,39.0,4284.0,1034.0
223,51.0,4547.0,1151.0
224,40.0,3206.0,813.0
225,36.0,4124.0,1102.0
226,43.0,4468.0,1127.0
227,31.0,4027.0,929.0
228,21.0,3550.0,900.0
229,22.0,3440.0,927.0
230,28.0,3442.0,883.0
231,34.0,3940.0,1005.0
232,36.0,3781.0,967.0
233,39.0,4046.0,1014.0
234,40.0,3727.0,994.0
235,48.0,4763.0,1187.0
236,31.0,3214.0,820.0
237,47.0,4042.0,996.0
238,45.0,4348.0,1088.0
239,29.0,3805.0,967.0
240,35.0,3462.0,925.0
241,28.0,3139.0,791.0
242,40.0,3271.0,870.0
243,27.0,2825.0,744.0
244,26.0,2251.0,607.0
245,40.0,3193.0,859.0
246,49.0,3380.0,905.0
247,58.0,4031.0,1010.0
248,46.0,3007.0,735.0
249,46.0,3659.0,948.0
250,34.0,3867.0,997.0
251,23.0,3150.0,864.0
252,13.0,2661.0,694.0
253,16.0,2149.0,521.0
